producto_db,nombre_producto,precio
Webcam HD 1080p,Camara Web LOGITECH 4K 1080p MX Brio Gris,999900
Webcam HD 1080p,"Cámara Web LOGITECH HD Pro Stream C922
4.7
(15)",479900
Webcam HD 1080p,"Cámara Web HP FHD 1080p 430 Negro
5.0
(3)",179900
Webcam HD 1080p,"TV CHALLENGER 32"" Pulgadas 80 cm 32CR10 T2 HD LED Smart TV Roku
4.8
(13)",539900
Webcam HD 1080p,"TV CHALLENGER 32"" Pulgadas 80 cm 32KG90 HD LED Smart TV Google
4.6
(16)",629900
Webcam HD 1080p,"TV HYUNDAI 32"" Pulgadas 81 cm HYLED3257RiM HD LED Smart TV Roku
4.8
(40)",549900
Webcam HD 1080p,"TV KALLEY 32"" Pulgadas 80 cm K-RTV32 HD LED Smart TV Roku TV
4.9
(263)",569900
Webcam HD 1080p,"TV PANASONIC 32"" Pulgadas 80 cm 32S50CPN HD QLED Smart TV Google",799900
Webcam HD 1080p,"Videoproyector VTA Gunma 2 HD WiFi con Android
3.3
(4)",399930
Webcam HD 1080p,"Roku Streaming Stick HD
4.9
(20)",149000
Webcam HD 1080p,"Videoproyector VTA - 70357 Full HD LED WiFi Blanco
4.3
(12)",839930
Webcam HD 1080p,"Kit x 2 Cámaras de Seguridad Interior TP-LINK Tapo C200P2 WiFi 1080p FHD con Movimiento
5.0
(2)",195900
Webcam HD 1080p,Videoproyector VTA -70330 HD LED Home Cine Stereo Karaoke Blanco,599930
Webcam HD 1080p,"Cámara de Seguridad TP-LINK Interior Día/Noche Rotativa 1080p Tapo C201
5.0
(3)",108900
Webcam HD 1080p,"TV KALLEY 32"" Pulgadas 80 cm 32B100 HD LED
4.4
(9)",519900
Webcam HD 1080p,"Amazon Fire TV Stick HD 8 GB
4.3
(3)",206900
Webcam HD 1080p,"Videoproyector VTA - 70365 Mirror 5 HD LED Blanco
5.0
(2)",429930
Webcam HD 1080p,"Cámara TAPO C200 1080p Panoramica/Til
4.8
(142)",108900
Webcam HD 1080p,"Videoproyector VTA - 70351 HD LED con Android Tv Blanco|Gris
4.4
(12)",579930
Webcam HD 1080p,"TV CHALLENGER 32"" Pulgadas 80 cm 32KR14 T2 HD LED Smart TV Roku",569900
Webcam HD 1080p,"Videoproyector VTA - 70356 Full HD LED WiFi Gris
4.7
(10)",529930
Webcam HD 1080p,Hidrolavadora KARCHER Pro HD 4/9 CAGE Gris,3321900
